onset	duration	trial_type	nback-nontarget	response_time
27.5	0.698579	nback-nontarget	-0.21052600000000002	0.0
30.0	0.698579	nback-nontarget	-0.21052600000000002	0.0
37.5	0.698579	nback-nontarget	-0.21052600000000002	0.0
42.5	0.698579	nback-nontarget	0.789474	0.0
47.5	0.698579	nback-nontarget	-0.21052600000000002	0.0
55.0	0.698579	nback-nontarget	-0.21052600000000002	0.0
57.5	0.698579	nback-nontarget	-0.21052600000000002	0.0
60.0	0.698579	nback-nontarget	0.789474	0.0
65.0	0.698579	nback-nontarget	-0.21052600000000002	0.0
72.5	0.698579	nback-nontarget	0.789474	0.0
77.5	0.698579	nback-nontarget	-0.21052600000000002	0.0
85.0	0.698579	nback-nontarget	-0.21052600000000002	0.0
87.5	0.698579	nback-nontarget	-0.21052600000000002	0.0
97.5	0.698579	nback-nontarget	-0.21052600000000002	0.0
102.5	0.698579	nback-nontarget	-0.21052600000000002	0.0
117.5	0.698579	nback-nontarget	-0.21052600000000002	0.0
125.0	0.698579	nback-nontarget	0.789474	0.0
127.5	0.698579	nback-nontarget	-0.21052600000000002	0.0
