onset	duration	trial_type	nback-nontarget	response_time
27.5	0.763469	nback-nontarget	-0.25	0.0
35.0	0.763469	nback-nontarget	-0.25	0.0
37.5	0.763469	nback-nontarget	0.75	0.0
42.5	0.763469	nback-nontarget	0.75	0.0
45.0	0.763469	nback-nontarget	-0.25	0.0
52.5	0.763469	nback-nontarget	-0.25	0.0
57.5	0.763469	nback-nontarget	-0.25	0.0
62.5	0.763469	nback-nontarget	-0.25	0.0
72.5	0.763469	nback-nontarget	-0.25	0.0
77.5	0.763469	nback-nontarget	-0.25	0.0
85.0	0.763469	nback-nontarget	-0.25	0.0
87.5	0.763469	nback-nontarget	-0.25	0.0
100.0	0.763469	nback-nontarget	-0.25	0.0
105.0	0.763469	nback-nontarget	-0.25	0.0
112.5	0.763469	nback-nontarget	-0.25	0.0
120.0	0.763469	nback-nontarget	-0.25	0.0
137.5	0.763469	nback-nontarget	-0.25	0.0
142.5	0.763469	nback-nontarget	0.75	0.0
145.0	0.763469	nback-nontarget	-0.25	0.0
167.5	0.763469	nback-nontarget	-0.25	0.0
170.0	0.763469	nback-nontarget	0.75	0.0
175.0	0.763469	nback-nontarget	-0.25	0.0
192.5	0.763469	nback-nontarget	-0.25	0.0
197.5	0.763469	nback-nontarget	-0.25	0.0
205.0	0.763469	nback-nontarget	-0.25	0.0
212.5	0.763469	nback-nontarget	-0.25	0.0
215.0	0.763469	nback-nontarget	-0.25	0.0
237.5	0.763469	nback-nontarget	-0.25	0.0
