onset	duration	trial_type	nback-nontarget	response_time
27.5	0.841476	nback-nontarget	-0.28571399999999997	0.0
30.0	0.841476	nback-nontarget	-0.28571399999999997	0.0
37.5	0.841476	nback-nontarget	0.714286	0.0
42.5	0.841476	nback-nontarget	0.714286	0.0
45.0	0.841476	nback-nontarget	-0.28571399999999997	0.0
52.5	0.841476	nback-nontarget	-0.28571399999999997	0.0
57.5	0.841476	nback-nontarget	-0.28571399999999997	0.0
62.5	0.841476	nback-nontarget	-0.28571399999999997	0.0
65.0	0.841476	nback-nontarget	0.714286	0.0
72.5	0.841476	nback-nontarget	-0.28571399999999997	0.0
77.5	0.841476	nback-nontarget	-0.28571399999999997	0.0
80.0	0.841476	nback-nontarget	-0.28571399999999997	0.0
87.5	0.841476	nback-nontarget	-0.28571399999999997	0.0
92.5	0.841476	nback-nontarget	0.714286	0.0
100.0	0.841476	nback-nontarget	-0.28571399999999997	0.0
102.5	0.841476	nback-nontarget	0.714286	0.0
110.0	0.841476	nback-nontarget	-0.28571399999999997	0.0
115.0	0.841476	nback-nontarget	-0.28571399999999997	0.0
117.5	0.841476	nback-nontarget	0.714286	0.0
120.0	0.841476	nback-nontarget	-0.28571399999999997	0.0
127.5	0.841476	nback-nontarget	-0.28571399999999997	0.0
137.5	0.841476	nback-nontarget	-0.28571399999999997	0.0
140.0	0.841476	nback-nontarget	0.714286	0.0
145.0	0.841476	nback-nontarget	-0.28571399999999997	0.0
152.5	0.841476	nback-nontarget	-0.28571399999999997	0.0
157.5	0.841476	nback-nontarget	0.714286	0.0
160.0	0.841476	nback-nontarget	-0.28571399999999997	0.0
167.5	0.841476	nback-nontarget	-0.28571399999999997	0.0
172.5	0.841476	nback-nontarget	0.714286	0.0
180.0	0.841476	nback-nontarget	-0.28571399999999997	0.0
182.5	0.841476	nback-nontarget	0.714286	0.0
190.0	0.841476	nback-nontarget	-0.28571399999999997	0.0
195.0	0.841476	nback-nontarget	-0.28571399999999997	0.0
197.5	0.841476	nback-nontarget	-0.28571399999999997	0.0
202.5	0.841476	nback-nontarget	-0.28571399999999997	0.0
210.0	0.841476	nback-nontarget	-0.28571399999999997	0.0
212.5	0.841476	nback-nontarget	-0.28571399999999997	0.0
222.5	0.841476	nback-nontarget	0.714286	0.0
227.5	0.841476	nback-nontarget	-0.28571399999999997	0.0
235.0	0.841476	nback-nontarget	0.714286	0.0
240.0	0.841476	nback-nontarget	-0.28571399999999997	0.0
