onset	duration	trial_type	nback-nontarget	response_time
27.5	0.912077	nback-nontarget	-0.282051	0.0
30.0	0.912077	nback-nontarget	-0.282051	0.0
35.0	0.912077	nback-nontarget	0.717949	0.0
42.5	0.912077	nback-nontarget	0.717949	0.0
47.5	0.912077	nback-nontarget	-0.282051	0.0
50.0	0.912077	nback-nontarget	-0.282051	0.0
57.5	0.912077	nback-nontarget	-0.282051	0.0
60.0	0.912077	nback-nontarget	-0.282051	0.0
67.5	0.912077	nback-nontarget	0.717949	0.0
72.5	0.912077	nback-nontarget	-0.282051	0.0
80.0	0.912077	nback-nontarget	-0.282051	0.0
82.5	0.912077	nback-nontarget	-0.282051	0.0
87.5	0.912077	nback-nontarget	-0.282051	0.0
92.5	0.912077	nback-nontarget	0.717949	0.0
95.0	0.912077	nback-nontarget	-0.282051	0.0
107.5	0.912077	nback-nontarget	-0.282051	0.0
110.0	0.912077	nback-nontarget	-0.282051	0.0
125.0	0.912077	nback-nontarget	-0.282051	0.0
130.0	0.912077	nback-nontarget	-0.282051	0.0
152.5	0.912077	nback-nontarget	-0.282051	0.0
157.5	0.912077	nback-nontarget	0.717949	0.0
160.0	0.912077	nback-nontarget	-0.282051	0.0
167.5	0.912077	nback-nontarget	-0.282051	0.0
170.0	0.912077	nback-nontarget	0.717949	0.0
177.5	0.912077	nback-nontarget	-0.282051	2.5
182.5	0.912077	nback-nontarget	0.717949	0.0
187.5	0.912077	nback-nontarget	-0.282051	0.0
195.0	0.912077	nback-nontarget	-0.282051	0.0
197.5	0.912077	nback-nontarget	-0.282051	0.0
205.0	0.912077	nback-nontarget	-0.282051	0.0
207.5	0.912077	nback-nontarget	-0.282051	0.0
212.5	0.912077	nback-nontarget	-0.282051	0.0
217.5	0.912077	nback-nontarget	-0.282051	0.0
225.0	0.912077	nback-nontarget	0.717949	0.0
227.5	0.912077	nback-nontarget	-0.282051	0.0
235.0	0.912077	nback-nontarget	0.717949	0.0
240.0	0.912077	nback-nontarget	-0.282051	0.0
