onset	duration	trial_type	nback-nontarget	response_time
27.5	0.859024	nback-nontarget	-0.28571399999999997	0.0
32.5	0.859024	nback-nontarget	0.714286	0.0
35.0	0.859024	nback-nontarget	-0.28571399999999997	0.0
42.5	0.859024	nback-nontarget	-0.28571399999999997	0.0
47.5	0.859024	nback-nontarget	-0.28571399999999997	0.0
50.0	0.859024	nback-nontarget	-0.28571399999999997	0.0
57.5	0.859024	nback-nontarget	-0.28571399999999997	0.0
60.0	0.859024	nback-nontarget	-0.28571399999999997	0.0
67.5	0.859024	nback-nontarget	0.714286	0.0
72.5	0.859024	nback-nontarget	0.714286	0.0
75.0	0.859024	nback-nontarget	-0.28571399999999997	0.0
82.5	0.859024	nback-nontarget	-0.28571399999999997	0.0
87.5	0.859024	nback-nontarget	-0.28571399999999997	0.0
92.5	0.859024	nback-nontarget	0.714286	0.0
100.0	0.859024	nback-nontarget	-0.28571399999999997	0.0
102.5	0.859024	nback-nontarget	0.714286	0.0
107.5	0.859024	nback-nontarget	-0.28571399999999997	0.0
110.0	0.859024	nback-nontarget	-0.28571399999999997	0.0
117.5	0.859024	nback-nontarget	0.714286	0.0
125.0	0.859024	nback-nontarget	-0.28571399999999997	0.0
127.5	0.859024	nback-nontarget	-0.28571399999999997	0.0
180.0	0.859024	nback-nontarget	-0.28571399999999997	0.0
185.0	0.859024	nback-nontarget	0.714286	0.0
192.5	0.859024	nback-nontarget	-0.28571399999999997	0.0
195.0	0.859024	nback-nontarget	-0.28571399999999997	0.0
202.5	0.859024	nback-nontarget	-0.28571399999999997	0.0
205.0	0.859024	nback-nontarget	-0.28571399999999997	0.0
210.0	0.859024	nback-nontarget	0.714286	0.0
215.0	0.859024	nback-nontarget	-0.28571399999999997	0.0
217.5	0.859024	nback-nontarget	0.714286	0.0
225.0	0.859024	nback-nontarget	-0.28571399999999997	0.0
232.5	0.859024	nback-nontarget	0.714286	0.0
237.5	0.859024	nback-nontarget	-0.28571399999999997	0.0
240.0	0.859024	nback-nontarget	0.714286	0.0
247.5	0.859024	nback-nontarget	-0.28571399999999997	0.0
250.0	0.859024	nback-nontarget	-0.28571399999999997	0.0
255.0	0.859024	nback-nontarget	-0.28571399999999997	0.0
262.5	0.859024	nback-nontarget	-0.28571399999999997	0.0
267.5	0.859024	nback-nontarget	-0.28571399999999997	0.0
270.0	0.859024	nback-nontarget	0.714286	0.0
272.5	0.859024	nback-nontarget	-0.28571399999999997	0.0
280.0	0.859024	nback-nontarget	-0.28571399999999997	0.0
