onset	duration	trial_type	nback-nontarget	response_time
27.5	0.656643	nback-nontarget	0.714286	0.0
35.0	0.656643	nback-nontarget	-0.28571399999999997	0.0
40.0	0.656643	nback-nontarget	-0.28571399999999997	0.0
42.5	0.656643	nback-nontarget	-0.28571399999999997	0.0
50.0	0.656643	nback-nontarget	-0.28571399999999997	0.0
52.5	0.656643	nback-nontarget	0.714286	0.0
57.5	0.656643	nback-nontarget	-0.28571399999999997	0.0
62.5	0.656643	nback-nontarget	0.714286	0.0
65.0	0.656643	nback-nontarget	0.714286	0.0
72.5	0.656643	nback-nontarget	-0.28571399999999997	0.0
77.5	0.656643	nback-nontarget	-0.28571399999999997	0.0
85.0	0.656643	nback-nontarget	-0.28571399999999997	0.0
87.5	0.656643	nback-nontarget	-0.28571399999999997	0.0
92.5	0.656643	nback-nontarget	-0.28571399999999997	0.0
100.0	0.656643	nback-nontarget	0.714286	0.0
102.5	0.656643	nback-nontarget	-0.28571399999999997	0.0
105.0	0.656643	nback-nontarget	0.714286	0.0
112.5	0.656643	nback-nontarget	-0.28571399999999997	0.0
117.5	0.656643	nback-nontarget	-0.28571399999999997	0.0
120.0	0.656643	nback-nontarget	-0.28571399999999997	0.0
127.5	0.656643	nback-nontarget	-0.28571399999999997	0.0
180.0	0.656643	nback-nontarget	-0.28571399999999997	0.0
185.0	0.656643	nback-nontarget	0.714286	0.0
192.5	0.656643	nback-nontarget	-0.28571399999999997	0.0
195.0	0.656643	nback-nontarget	0.714286	0.0
200.0	0.656643	nback-nontarget	-0.28571399999999997	0.0
202.5	0.656643	nback-nontarget	0.714286	0.0
210.0	0.656643	nback-nontarget	-0.28571399999999997	0.0
212.5	0.656643	nback-nontarget	-0.28571399999999997	0.0
217.5	0.656643	nback-nontarget	0.714286	0.0
225.0	0.656643	nback-nontarget	-0.28571399999999997	0.0
230.0	0.656643	nback-nontarget	-0.28571399999999997	0.0
237.5	0.656643	nback-nontarget	-0.28571399999999997	0.0
240.0	0.656643	nback-nontarget	0.714286	0.0
242.5	0.656643	nback-nontarget	-0.28571399999999997	0.0
250.0	0.656643	nback-nontarget	-0.28571399999999997	0.0
255.0	0.656643	nback-nontarget	-0.28571399999999997	0.0
262.5	0.656643	nback-nontarget	-0.28571399999999997	0.0
267.5	0.656643	nback-nontarget	-0.28571399999999997	0.0
275.0	0.656643	nback-nontarget	-0.28571399999999997	0.0
277.5	0.656643	nback-nontarget	-0.28571399999999997	0.0
