onset	duration	trial_type	nback-nontarget	response_time
27.5	0.691381	nback-nontarget	-0.28571399999999997	0.0
30.0	0.691381	nback-nontarget	-0.28571399999999997	0.0
35.0	0.691381	nback-nontarget	0.714286	0.0
42.5	0.691381	nback-nontarget	-0.28571399999999997	0.0
50.0	0.691381	nback-nontarget	0.714286	0.0
52.5	0.691381	nback-nontarget	-0.28571399999999997	0.0
57.5	0.691381	nback-nontarget	-0.28571399999999997	0.0
62.5	0.691381	nback-nontarget	-0.28571399999999997	0.0
65.0	0.691381	nback-nontarget	-0.28571399999999997	0.0
72.5	0.691381	nback-nontarget	-0.28571399999999997	0.0
75.0	0.691381	nback-nontarget	0.714286	0.0
80.0	0.691381	nback-nontarget	-0.28571399999999997	0.0
87.5	0.691381	nback-nontarget	0.714286	0.0
92.5	0.691381	nback-nontarget	-0.28571399999999997	0.0
105.0	0.691381	nback-nontarget	-0.28571399999999997	0.0
110.0	0.691381	nback-nontarget	0.714286	0.0
117.5	0.691381	nback-nontarget	-0.28571399999999997	0.0
122.5	0.691381	nback-nontarget	-0.28571399999999997	0.0
125.0	0.691381	nback-nontarget	-0.28571399999999997	0.0
