onset	duration	trial_type	nback-nontarget	response_time
30.0	1.033615	nback-nontarget	-0.282051	0.0
35.0	1.033615	nback-nontarget	-0.282051	0.0
42.5	1.033615	nback-nontarget	0.717949	0.0
50.0	1.033615	nback-nontarget	-0.282051	0.0
55.0	1.033615	nback-nontarget	0.717949	0.0
62.5	1.033615	nback-nontarget	-0.282051	0.0
70.0	1.033615	nback-nontarget	-0.282051	0.0
77.5	1.033615	nback-nontarget	-0.282051	0.0
82.5	1.033615	nback-nontarget	-0.282051	0.0
90.0	1.033615	nback-nontarget	-0.282051	0.0
97.5	1.033615	nback-nontarget	0.717949	0.0
102.5	1.033615	nback-nontarget	-0.282051	0.0
110.0	1.033615	nback-nontarget	0.717949	0.0
117.5	1.033615	nback-nontarget	-0.282051	0.0
122.5	1.033615	nback-nontarget	0.717949	0.0
130.0	1.033615	nback-nontarget	-0.282051	0.0
135.0	1.033615	nback-nontarget	-0.282051	0.0
155.0	1.033615	nback-nontarget	-0.282051	0.0
162.5	1.033615	nback-nontarget	-0.282051	0.0
220.0	1.033615	nback-nontarget	-0.282051	0.0
225.0	1.033615	nback-nontarget	-0.282051	0.0
232.5	1.033615	nback-nontarget	0.717949	0.0
240.0	1.033615	nback-nontarget	-0.282051	0.0
247.5	1.033615	nback-nontarget	-0.282051	0.0
252.5	1.033615	nback-nontarget	-0.282051	0.0
260.0	1.033615	nback-nontarget	-0.282051	0.0
267.5	1.033615	nback-nontarget	-0.282051	0.0
275.0	1.033615	nback-nontarget	0.717949	0.0
280.0	1.033615	nback-nontarget	-0.282051	0.0
287.5	1.033615	nback-nontarget	-0.282051	0.0
295.0	1.033615	nback-nontarget	0.717949	0.0
300.0	1.033615	nback-nontarget	-0.282051	0.0
315.0	1.033615	nback-nontarget	-0.282051	0.0
320.0	1.033615	nback-nontarget	-0.282051	0.0
327.5	1.033615	nback-nontarget	-0.282051	0.0
332.5	1.033615	nback-nontarget	0.717949	0.0
340.0	1.033615	nback-nontarget	0.717949	0.0
