onset	duration	trial_type	nback-nontarget	response_time
27.5	1.057395	nback-nontarget	-0.28947399999999995	0.0
35.0	1.057395	nback-nontarget	-0.28947399999999995	0.0
42.5	1.057395	nback-nontarget	-0.28947399999999995	0.0
45.0	1.057395	nback-nontarget	-0.28947399999999995	0.0
50.0	1.057395	nback-nontarget	-0.28947399999999995	0.0
57.5	1.057395	nback-nontarget	-0.28947399999999995	0.0
62.5	1.057395	nback-nontarget	-0.28947399999999995	0.0
65.0	1.057395	nback-nontarget	0.710526	0.0
72.5	1.057395	nback-nontarget	0.710526	0.0
75.0	1.057395	nback-nontarget	-0.28947399999999995	0.0
80.0	1.057395	nback-nontarget	-0.28947399999999995	0.0
87.5	1.057395	nback-nontarget	-0.28947399999999995	0.0
97.5	1.057395	nback-nontarget	-0.28947399999999995	0.0
102.5	1.057395	nback-nontarget	0.710526	0.0
107.5	1.057395	nback-nontarget	-0.28947399999999995	0.0
110.0	1.057395	nback-nontarget	-0.28947399999999995	0.0
117.5	1.057395	nback-nontarget	0.710526	0.0
122.5	1.057395	nback-nontarget	-0.28947399999999995	0.0
125.0	1.057395	nback-nontarget	-0.28947399999999995	0.0
180.0	1.057395	nback-nontarget	-0.28947399999999995	0.0
187.5	1.057395	nback-nontarget	0.710526	0.0
190.0	1.057395	nback-nontarget	-0.28947399999999995	0.0
197.5	1.057395	nback-nontarget	-0.28947399999999995	0.0
210.0	1.057395	nback-nontarget	0.710526	0.0
217.5	1.057395	nback-nontarget	0.710526	0.0
225.0	1.057395	nback-nontarget	-0.28947399999999995	0.0
227.5	1.057395	nback-nontarget	0.710526	0.0
232.5	1.057395	nback-nontarget	-0.28947399999999995	0.0
245.0	1.057395	nback-nontarget	-0.28947399999999995	0.0
255.0	1.057395	nback-nontarget	-0.28947399999999995	0.0
260.0	1.057395	nback-nontarget	-0.28947399999999995	0.0
267.5	1.057395	nback-nontarget	-0.28947399999999995	0.0
270.0	1.057395	nback-nontarget	0.710526	0.0
275.0	1.057395	nback-nontarget	-0.28947399999999995	0.0
282.5	1.057395	nback-nontarget	-0.28947399999999995	0.0
