onset	duration	trial_type	nback-nontarget	response_time
27.5	0.885175	nback-nontarget	-0.275	0.0
30.0	0.885175	nback-nontarget	-0.275	0.0
37.5	0.885175	nback-nontarget	0.725	0.0
42.5	0.885175	nback-nontarget	-0.275	0.0
50.0	0.885175	nback-nontarget	-0.275	0.0
57.5	0.885175	nback-nontarget	-0.275	0.0
62.5	0.885175	nback-nontarget	0.725	0.0
72.5	0.885175	nback-nontarget	-0.275	0.0
75.0	0.885175	nback-nontarget	-0.275	0.0
80.0	0.885175	nback-nontarget	0.725	0.0
87.5	0.885175	nback-nontarget	-0.275	0.0
90.0	0.885175	nback-nontarget	-0.275	0.0
95.0	0.885175	nback-nontarget	-0.275	0.0
102.5	0.885175	nback-nontarget	-0.275	0.0
110.0	0.885175	nback-nontarget	0.725	0.0
112.5	0.885175	nback-nontarget	-0.275	0.0
117.5	0.885175	nback-nontarget	-0.275	0.0
120.0	0.885175	nback-nontarget	-0.275	0.0
127.5	0.885175	nback-nontarget	-0.275	0.0
180.0	0.885175	nback-nontarget	-0.275	0.0
187.5	0.885175	nback-nontarget	-0.275	0.0
190.0	0.885175	nback-nontarget	0.725	0.0
195.0	0.885175	nback-nontarget	-0.275	0.0
202.5	0.885175	nback-nontarget	-0.275	0.0
210.0	0.885175	nback-nontarget	0.725	0.0
217.5	0.885175	nback-nontarget	-0.275	0.0
220.0	0.885175	nback-nontarget	-0.275	0.0
225.0	0.885175	nback-nontarget	-0.275	0.0
230.0	0.885175	nback-nontarget	-0.275	0.0
232.5	0.885175	nback-nontarget	-0.275	0.0
240.0	0.885175	nback-nontarget	-0.275	0.0
245.0	0.885175	nback-nontarget	0.725	0.0
247.5	0.885175	nback-nontarget	-0.275	0.0
255.0	0.885175	nback-nontarget	-0.275	0.0
262.5	0.885175	nback-nontarget	-0.275	0.0
267.5	0.885175	nback-nontarget	-0.275	0.0
270.0	0.885175	nback-nontarget	0.725	2.5
