onset	duration	trial_type	nback-nontarget	response_time
27.5	1.1211790000000001	nback-nontarget	-0.282051	0.0
32.5	1.1211790000000001	nback-nontarget	-0.282051	0.0
35.0	1.1211790000000001	nback-nontarget	0.717949	0.0
42.5	1.1211790000000001	nback-nontarget	-0.282051	0.0
50.0	1.1211790000000001	nback-nontarget	0.717949	0.0
52.5	1.1211790000000001	nback-nontarget	-0.282051	0.0
57.5	1.1211790000000001	nback-nontarget	-0.282051	0.0
62.5	1.1211790000000001	nback-nontarget	0.717949	0.0
70.0	1.1211790000000001	nback-nontarget	0.717949	0.0
72.5	1.1211790000000001	nback-nontarget	-0.282051	0.0
75.0	1.1211790000000001	nback-nontarget	-0.282051	0.0
82.5	1.1211790000000001	nback-nontarget	0.717949	0.0
87.5	1.1211790000000001	nback-nontarget	-0.282051	0.0
90.0	1.1211790000000001	nback-nontarget	-0.282051	0.0
95.0	1.1211790000000001	nback-nontarget	-0.282051	0.0
102.5	1.1211790000000001	nback-nontarget	-0.282051	0.0
110.0	1.1211790000000001	nback-nontarget	0.717949	0.0
112.5	1.1211790000000001	nback-nontarget	-0.282051	0.0
117.5	1.1211790000000001	nback-nontarget	-0.282051	0.0
122.5	1.1211790000000001	nback-nontarget	-0.282051	2.5
125.0	1.1211790000000001	nback-nontarget	-0.282051	0.0
180.0	1.1211790000000001	nback-nontarget	-0.282051	0.0
182.5	1.1211790000000001	nback-nontarget	-0.282051	0.0
187.5	1.1211790000000001	nback-nontarget	0.717949	0.0
195.0	1.1211790000000001	nback-nontarget	-0.282051	0.0
202.5	1.1211790000000001	nback-nontarget	-0.282051	0.0
217.5	1.1211790000000001	nback-nontarget	-0.282051	0.0
220.0	1.1211790000000001	nback-nontarget	-0.282051	0.0
225.0	1.1211790000000001	nback-nontarget	-0.282051	0.0
227.5	1.1211790000000001	nback-nontarget	-0.282051	0.0
240.0	1.1211790000000001	nback-nontarget	-0.282051	0.0
245.0	1.1211790000000001	nback-nontarget	0.717949	0.0
247.5	1.1211790000000001	nback-nontarget	-0.282051	0.0
260.0	1.1211790000000001	nback-nontarget	-0.282051	0.0
262.5	1.1211790000000001	nback-nontarget	-0.282051	0.0
280.0	1.1211790000000001	nback-nontarget	-0.282051	0.0
