onset	duration	trial_type	nback-nontarget	response_time
30.0	0.62905	nback-nontarget	0.7	0.0
37.5	0.62905	nback-nontarget	-0.3	0.0
42.5	0.62905	nback-nontarget	-0.3	0.0
50.0	0.62905	nback-nontarget	-0.3	0.0
57.5	0.62905	nback-nontarget	-0.3	0.0
65.0	0.62905	nback-nontarget	0.7	0.0
70.0	0.62905	nback-nontarget	-0.3	0.0
77.5	0.62905	nback-nontarget	0.7	0.0
82.5	0.62905	nback-nontarget	0.7	0.0
90.0	0.62905	nback-nontarget	-0.3	0.0
97.5	0.62905	nback-nontarget	-0.3	0.0
105.0	0.62905	nback-nontarget	-0.3	0.0
110.0	0.62905	nback-nontarget	-0.3	0.0
115.0	0.62905	nback-nontarget	-0.3	0.0
122.5	0.62905	nback-nontarget	0.7	0.0
135.0	0.62905	nback-nontarget	0.7	0.0
142.5	0.62905	nback-nontarget	-0.3	0.0
150.0	0.62905	nback-nontarget	-0.3	0.0
157.5	0.62905	nback-nontarget	-0.3	0.0
162.5	0.62905	nback-nontarget	-0.3	2.5
