onset	duration	trial_type	nback-nontarget	response_time
35.0	0.960939	nback-nontarget	0.666667	0.0
42.5	0.960939	nback-nontarget	-0.333333	0.0
55.0	0.960939	nback-nontarget	-0.333333	0.0
57.5	0.960939	nback-nontarget	-0.333333	0.0
62.5	0.960939	nback-nontarget	-0.333333	0.0
75.0	0.960939	nback-nontarget	-0.333333	0.0
82.5	0.960939	nback-nontarget	-0.333333	0.0
87.5	0.960939	nback-nontarget	-0.333333	0.0
92.5	0.960939	nback-nontarget	0.666667	0.0
102.5	0.960939	nback-nontarget	0.666667	0.0
105.0	0.960939	nback-nontarget	-0.333333	0.0
110.0	0.960939	nback-nontarget	-0.333333	0.0
117.5	0.960939	nback-nontarget	0.666667	0.0
125.0	0.960939	nback-nontarget	-0.333333	0.0
130.0	0.960939	nback-nontarget	-0.333333	0.0
190.0	0.960939	nback-nontarget	-0.333333	0.0
195.0	0.960939	nback-nontarget	-0.333333	0.0
197.5	0.960939	nback-nontarget	-0.333333	0.0
217.5	0.960939	nback-nontarget	-0.333333	0.0
225.0	0.960939	nback-nontarget	-0.333333	0.0
227.5	0.960939	nback-nontarget	0.666667	0.0
240.0	0.960939	nback-nontarget	0.666667	0.0
242.5	0.960939	nback-nontarget	-0.333333	0.0
247.5	0.960939	nback-nontarget	-0.333333	0.0
255.0	0.960939	nback-nontarget	-0.333333	0.0
260.0	0.960939	nback-nontarget	-0.333333	0.0
262.5	0.960939	nback-nontarget	-0.333333	0.0
275.0	0.960939	nback-nontarget	-0.333333	0.0
