onset	duration	trial_type	nback-nontarget	response_time
27.5	1.033462	nback-nontarget	-0.282051	0.0
32.5	1.033462	nback-nontarget	-0.282051	0.0
35.0	1.033462	nback-nontarget	0.717949	0.0
47.5	1.033462	nback-nontarget	-0.282051	0.0
50.0	1.033462	nback-nontarget	-0.282051	0.0
57.5	1.033462	nback-nontarget	-0.282051	0.0
65.0	1.033462	nback-nontarget	-0.282051	0.0
67.5	1.033462	nback-nontarget	0.717949	0.0
72.5	1.033462	nback-nontarget	-0.282051	0.0
80.0	1.033462	nback-nontarget	-0.282051	0.0
82.5	1.033462	nback-nontarget	-0.282051	0.0
87.5	1.033462	nback-nontarget	-0.282051	0.0
90.0	1.033462	nback-nontarget	0.717949	0.0
95.0	1.033462	nback-nontarget	-0.282051	0.0
105.0	1.033462	nback-nontarget	-0.282051	0.0
112.5	1.033462	nback-nontarget	-0.282051	0.0
122.5	1.033462	nback-nontarget	-0.282051	0.0
125.0	1.033462	nback-nontarget	-0.282051	0.0
137.5	1.033462	nback-nontarget	-0.282051	0.0
142.5	1.033462	nback-nontarget	0.717949	0.0
150.0	1.033462	nback-nontarget	-0.282051	0.0
152.5	1.033462	nback-nontarget	-0.282051	0.0
155.0	1.033462	nback-nontarget	0.717949	0.0
162.5	1.033462	nback-nontarget	-0.282051	0.0
167.5	1.033462	nback-nontarget	-0.282051	0.0
177.5	1.033462	nback-nontarget	-0.282051	2.5
182.5	1.033462	nback-nontarget	0.717949	0.0
190.0	1.033462	nback-nontarget	-0.282051	0.0
195.0	1.033462	nback-nontarget	-0.282051	0.0
202.5	1.033462	nback-nontarget	-0.282051	0.0
210.0	1.033462	nback-nontarget	-0.282051	0.0
217.5	1.033462	nback-nontarget	-0.282051	0.0
225.0	1.033462	nback-nontarget	0.717949	0.0
227.5	1.033462	nback-nontarget	-0.282051	0.0
235.0	1.033462	nback-nontarget	0.717949	0.0
237.5	1.033462	nback-nontarget	-0.282051	0.0
