onset	duration	trial_type	nback-nontarget	response_time
35.0	1.123735	nback-nontarget	-0.294118	0.0
37.5	1.123735	nback-nontarget	0.705882	0.0
50.0	1.123735	nback-nontarget	0.705882	0.0
52.5	1.123735	nback-nontarget	-0.294118	0.0
57.5	1.123735	nback-nontarget	-0.294118	0.0
72.5	1.123735	nback-nontarget	-0.294118	0.0
80.0	1.123735	nback-nontarget	-0.294118	0.0
92.5	1.123735	nback-nontarget	-0.294118	0.0
100.0	1.123735	nback-nontarget	-0.294118	0.0
102.5	1.123735	nback-nontarget	-0.294118	0.0
107.5	1.123735	nback-nontarget	0.705882	0.0
115.0	1.123735	nback-nontarget	-0.294118	0.0
117.5	1.123735	nback-nontarget	-0.294118	0.0
125.0	1.123735	nback-nontarget	-0.294118	0.0
127.5	1.123735	nback-nontarget	-0.294118	0.0
217.5	1.123735	nback-nontarget	-0.294118	0.0
222.5	1.123735	nback-nontarget	-0.294118	0.0
225.0	1.123735	nback-nontarget	-0.294118	0.0
232.5	1.123735	nback-nontarget	-0.294118	0.0
235.0	1.123735	nback-nontarget	-0.294118	0.0
240.0	1.123735	nback-nontarget	-0.294118	0.0
252.5	1.123735	nback-nontarget	-0.294118	0.0
262.5	1.123735	nback-nontarget	-0.294118	0.0
267.5	1.123735	nback-nontarget	-0.294118	0.0
270.0	1.123735	nback-nontarget	0.705882	0.0
282.5	1.123735	nback-nontarget	-0.294118	0.0
