onset	duration	trial_type	nback-nontarget	response_time
27.5	1.130167	nback-nontarget	-0.28571399999999997	0.0
30.0	1.130167	nback-nontarget	-0.28571399999999997	0.0
37.5	1.130167	nback-nontarget	0.714286	0.0
42.5	1.130167	nback-nontarget	-0.28571399999999997	0.0
50.0	1.130167	nback-nontarget	-0.28571399999999997	0.0
57.5	1.130167	nback-nontarget	-0.28571399999999997	0.0
62.5	1.130167	nback-nontarget	-0.28571399999999997	0.0
70.0	1.130167	nback-nontarget	-0.28571399999999997	0.0
72.5	1.130167	nback-nontarget	-0.28571399999999997	0.0
77.5	1.130167	nback-nontarget	0.714286	0.0
80.0	1.130167	nback-nontarget	-0.28571399999999997	0.0
92.5	1.130167	nback-nontarget	-0.28571399999999997	0.0
100.0	1.130167	nback-nontarget	0.714286	0.0
107.5	1.130167	nback-nontarget	-0.28571399999999997	0.0
115.0	1.130167	nback-nontarget	0.714286	0.0
117.5	1.130167	nback-nontarget	-0.28571399999999997	0.0
120.0	1.130167	nback-nontarget	-0.28571399999999997	0.0
125.0	1.130167	nback-nontarget	-0.28571399999999997	0.0
180.0	1.130167	nback-nontarget	-0.28571399999999997	0.0
187.5	1.130167	nback-nontarget	-0.28571399999999997	0.0
190.0	1.130167	nback-nontarget	0.714286	0.0
195.0	1.130167	nback-nontarget	-0.28571399999999997	0.0
197.5	1.130167	nback-nontarget	-0.28571399999999997	0.0
205.0	1.130167	nback-nontarget	-0.28571399999999997	0.0
210.0	1.130167	nback-nontarget	-0.28571399999999997	0.0
212.5	1.130167	nback-nontarget	-0.28571399999999997	0.0
220.0	1.130167	nback-nontarget	0.714286	0.0
225.0	1.130167	nback-nontarget	-0.28571399999999997	0.0
230.0	1.130167	nback-nontarget	-0.28571399999999997	0.0
237.5	1.130167	nback-nontarget	0.714286	0.0
240.0	1.130167	nback-nontarget	-0.28571399999999997	0.0
245.0	1.130167	nback-nontarget	0.714286	0.0
252.5	1.130167	nback-nontarget	-0.28571399999999997	0.0
255.0	1.130167	nback-nontarget	-0.28571399999999997	0.0
262.5	1.130167	nback-nontarget	-0.28571399999999997	0.0
267.5	1.130167	nback-nontarget	0.714286	0.0
270.0	1.130167	nback-nontarget	0.714286	0.0
277.5	1.130167	nback-nontarget	-0.28571399999999997	0.0
280.0	1.130167	nback-nontarget	-0.28571399999999997	0.0
