onset	duration	trial_type	nback-nontarget	response_time
27.5	0.64831	nback-nontarget	0.714286	0.0
42.5	0.64831	nback-nontarget	-0.28571399999999997	0.0
50.0	0.64831	nback-nontarget	-0.28571399999999997	0.0
55.0	0.64831	nback-nontarget	0.714286	0.0
65.0	0.64831	nback-nontarget	0.714286	0.0
67.5	0.64831	nback-nontarget	0.714286	0.0
97.5	0.64831	nback-nontarget	0.714286	0.0
105.0	0.64831	nback-nontarget	0.714286	0.0
122.5	0.64831	nback-nontarget	-0.28571399999999997	0.0
180.0	0.64831	nback-nontarget	-0.28571399999999997	0.0
182.5	0.64831	nback-nontarget	0.714286	0.0
190.0	0.64831	nback-nontarget	-0.28571399999999997	0.0
195.0	0.64831	nback-nontarget	0.714286	0.0
202.5	0.64831	nback-nontarget	0.714286	0.0
222.5	0.64831	nback-nontarget	0.714286	0.0
225.0	0.64831	nback-nontarget	-0.28571399999999997	0.0
240.0	0.64831	nback-nontarget	0.714286	0.0
245.0	0.64831	nback-nontarget	-0.28571399999999997	0.0
257.5	0.64831	nback-nontarget	-0.28571399999999997	0.0
270.0	0.64831	nback-nontarget	0.714286	0.0
272.5	0.64831	nback-nontarget	-0.28571399999999997	0.0
277.5	0.64831	nback-nontarget	-0.28571399999999997	0.0
